Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Jayden Daniels,LSU,SEC,12,236,327,72.2,3812,11.7,13.6,40,4,208,135,1134,8.4,10,jayden-daniels-1
2,Jalen Milroe,Alabama,SEC,12,171,261,65.5,2718,10.4,11.1,23,6,177.5,140,468,3.3,12,jalen-milroe-1
3,Kaidon Salter,Liberty,CUSA,13,162,266,60.9,2750,10.3,11.8,31,5,182.4,153,1064,7,12,kaidon-salter-1
4,Bo Nix,Oregon,Pac-12,13,336,435,77.2,4145,9.5,11.1,40,3,186.2,53,228,4.3,6,bo-nix-1
5,Dillon Gabriel,Oklahoma,Big 12,12,266,384,69.3,3660,9.5,10.4,30,6,172,93,373,4,12,dillon-gabriel-1
6,Carson Beck,Georgia,SEC,13,289,399,72.4,3738,9.4,9.8,22,6,166.3,58,127,2.2,4,carson-beck-1
7,Caleb Williams,USC,Pac-12,12,266,388,68.6,3633,9.4,10.3,30,5,170.1,97,142,1.5,11,caleb-williams-3
8,Jaxson Dart,Ole Miss,SEC,12,208,318,65.4,2985,9.4,9.9,20,5,161.9,111,375,3.4,7,jaxson-dart-1
9,Preston Stone,SMU,American,12,206,344,59.9,3197,9.3,10.1,28,6,161.3,62,198,3.2,4,preston-stone-1
10,J.J. McCarthy,Michigan,Big Ten,13,213,287,74.2,2630,9.2,9.9,19,4,170.3,57,146,2.6,3,jj-mccarthy-1
11,Michael Penix Jr.,Washington,Pac-12,13,307,466,65.9,4218,9.1,9.6,33,9,161.4,29,-18,-0.6,3,michael-penix-jr-1
12,Brady Cook,Missouri,SEC,12,233,351,66.4,3189,9.1,9.5,20,6,158.1,94,253,2.7,8,brady-cook-1
13,Kyle McCord,Ohio State,Big Ten,12,229,348,65.8,3170,9.1,9.7,24,6,161.6,32,-65,-2,0,kyle-mccord-1
14,John Rhys Plumlee,UCF,Big 12,9,145,227,63.9,2073,9.1,8.7,13,8,152.4,91,473,5.2,5,john-rhys-plumlee-1
15,Jordan McCloud,James Madison,Sun Belt,12,261,379,68.9,3400,9,9.6,32,9,167.3,92,311,3.4,8,jordan-mccloud-1
16,Quinn Ewers,Texas,Big 12,11,248,351,70.7,3161,9,9.4,21,6,162.6,51,21,0.4,5,quinn-ewers-1
17,Jaylen Raynor,Arkansas State,Sun Belt,10,150,255,58.8,2300,9,9.1,15,6,149.3,110,324,2.9,5,jaylen--raynor-1
18,Sam Hartman,Notre Dame,Ind,12,191,301,63.5,2689,8.9,9.3,24,8,159.5,45,123,2.7,3,sam-hartman-1
19,Jayden Maiava,UNLV,MWC,13,200,318,62.9,2794,8.8,8.5,14,8,146.2,69,261,3.8,3,jayden-maiava-1
20,Garrett Greene,West Virginia,Big 12,11,135,254,53.1,2178,8.6,9,15,4,141.5,111,708,6.4,13,garrett-greene-1
21,Drake Maye,North Carolina,ACC,12,269,425,63.3,3608,8.5,8.7,24,9,149,112,449,4,9,drake-maye-1
22,TJ Finley,Texas State,Sun Belt,12,264,385,68.6,3287,8.5,8.8,24,8,156.7,71,80,1.1,5,tj-finley-1
23,Diego Pavia,New Mexico State,CUSA,14,210,341,61.6,2915,8.5,9,26,8,153.9,158,851,5.4,6,diego-pavia-1
24,Jordan Travis,Florida State,ACC,11,207,324,63.9,2756,8.5,9.5,20,2,154.5,73,176,2.4,7,jordan-travis-1
25,Noah Fifita,Arizona,Pac-12,11,217,295,73.6,2515,8.5,9.3,23,5,167.5,31,2,0.1,0,noah-fifita-1
26,JT Daniels,Rice,American,9,181,287,63.1,2443,8.5,8.9,21,7,153.8,25,-65,-2.6,1,jt-daniels-1
27,Michael Pratt,Tulane,American,11,185,283,65.4,2406,8.5,9.3,22,5,158.9,98,286,2.9,5,michael-pratt-1
28,Cooper Legas,Utah State,MWC,9,138,213,64.8,1815,8.5,8.6,19,8,158.3,68,122,1.8,0,cooper-legas-1
29,DeQuan Finn,Toledo,MAC,13,201,317,63.4,2657,8.4,8.5,22,9,151,123,563,4.6,7,dequan-finn-1
30,D.J. Uiagalelei,Oregon State,Pac-12,12,180,315,57.1,2638,8.4,8.7,21,7,145,68,219,3.2,6,dj-uiagalelei-1
31,Joey Aguilar,Appalachian State,Sun Belt,13,275,428,64.3,3546,8.3,8.9,33,9,155.1,76,231,3,2,joey-aguilar-1
32,Gunnar Watson,Troy,Sun Belt,13,247,403,61.3,3339,8.3,9.1,27,5,150.5,46,-95,-2.1,1,gunnar-watson-1
33,Jack Plummer,Louisville,ACC,13,235,370,63.5,3063,8.3,8,21,12,145.3,91,28,0.3,1,jack-plummer-1
34,Taylen Green,Boise State,MWC,13,121,212,57.1,1752,8.3,7.4,11,9,135.1,78,436,5.6,9,taylen-green-1
35,Jacob Zeno,UAB,American,11,279,379,73.6,3126,8.2,8.2,20,9,155.6,91,168,1.8,4,jacob-zeno-1
36,Carter Bradley,South Alabama,Sun Belt,11,221,326,67.8,2660,8.2,8.4,19,7,151.3,43,-48,-1.1,1,carter-bradley-1
37,Graham Mertz,Florida,SEC,11,261,358,72.9,2903,8.1,8.8,20,3,157.8,62,-75,-1.2,4,graham-mertz-1
38,Tyler Van Dyke,Miami (FL),ACC,11,219,333,65.8,2703,8.1,7.6,19,12,145.6,24,16,0.7,1,tyler-van-dyke-1
39,Rocco Becht,Iowa State,Big 12,12,209,329,63.5,2674,8.1,8.2,20,8,147,54,67,1.2,3,rocco-becht-1
40,Seth Henigan,Memphis,American,12,294,442,66.5,3519,8,8.3,28,9,150.2,88,247,2.8,4,seth-henigan-1
41,Chandler Rogers,North Texas,American,12,262,421,62.2,3382,8,8.9,29,5,150.1,109,180,1.7,4,chandler-rogers-3
42,Spencer Rattler,South Carolina,SEC,12,275,399,68.9,3186,8,8,19,8,147.7,97,104,1.1,4,spencer-rattler-1
43,Joe Milton,Tennessee,SEC,12,229,354,64.7,2813,7.9,8.4,20,5,147.3,78,299,3.8,7,joe-milton-2
44,Garrett Shrader,Syracuse,ACC,11,134,214,62.6,1686,7.9,7.8,13,6,143.2,113,469,4.2,8,garrett-shrader-1
45,Haynes King,Georgia Tech,ACC,12,219,354,61.9,2755,7.8,7.3,26,15,143,108,648,6,9,haynes-king-1
46,Cameron Ward,Washington State,Pac-12,12,323,485,66.6,3736,7.7,8.1,25,7,145.4,120,144,1.2,8,cameron-ward-1
47,Taulia Tagovailoa,Maryland,Big Ten,12,290,437,66.4,3377,7.7,7.7,25,11,145.1,68,18,0.3,5,taulia-tagovailoa-1
48,Byrum Brown,South Florida,American,12,257,401,64.1,3078,7.7,7.6,23,11,142,189,745,3.9,11,byrum-brown-1
49,Chevan Cordeiro,San Jose State,MWC,12,207,332,62.3,2558,7.7,8.3,19,4,143.5,74,213,2.9,3,chevan-cordeiro-1
50,Hank Bachmeier,Louisiana Tech,CUSA,9,182,269,67.7,2058,7.7,7.6,10,5,140.5,58,47,0.8,2,hank-bachmeier-1
51,Kyron Drones,Virginia Tech,ACC,12,153,264,58,1994,7.6,8.2,15,3,137.9,146,642,4.4,4,kyron-drones-1
52,Andrew Peasley,Wyoming,MWC,11,146,241,60.6,1823,7.6,8.3,20,5,147.4,101,403,4,7,andrew-peasley-1
53,Dante Moore,UCLA,Pac-12,9,114,213,53.5,1610,7.6,6.7,11,9,125.6,45,-84,-1.9,0,dante-moore-1
54,Shedeur Sanders,Colorado,Pac-12,11,298,430,69.3,3230,7.5,8.5,27,3,151.7,111,-77,-0.7,4,shedeur-sanders-1
55,Frank Harris,UTSA,American,10,218,336,64.9,2506,7.5,7.5,18,8,140.4,86,323,3.8,4,frank-harris-3
56,Mitch Griffis,Wake Forest,ACC,9,124,207,59.9,1553,7.5,6.9,9,7,130.5,106,128,1.2,2,mitch-griffis-1
57,Brayden Fowler-Nicolosi,Colorado State,MWC,12,292,470,62.1,3460,7.4,6.8,22,16,132.6,33,-27,-0.8,1,brayden-fowler-nicolosi-1
58,Will Howard,Kansas State,Big 12,12,219,357,61.3,2643,7.4,7.5,24,10,140.1,81,351,4.3,9,will-howard-2
59,Josh Hoover,TCU,Big 12,10,185,298,62.1,2206,7.4,7.1,15,9,134.8,20,5,0.3,2,josh-hoover-1
60,Dylan Hopkins,New Mexico,MWC,11,157,282,55.7,2074,7.4,6.7,11,9,123.9,51,124,2.4,1,dylan-hopkins-1
61,Keyone Jenkins,Florida International,CUSA,11,194,332,58.4,2414,7.3,6.4,11,11,123.8,117,50,0.4,6,keyone-jenkins-1
62,Nicholas Vattiato,Middle Tennessee State,CUSA,12,286,428,66.8,3092,7.2,6.9,23,13,139.2,139,397,2.9,2,nicholas-vattiato-1
63,Kurtis Rourke,Ohio,MAC,11,195,307,63.5,2207,7.2,7.2,11,5,132.5,67,219,3.3,4,kurtis-rourke-1
64,Austin Reed,Western Kentucky,CUSA,12,289,470,61.5,3340,7.1,7.4,31,11,138.3,42,100,2.4,4,austin-reed-2
65,Donovan Smith,Houston,Big 12,12,256,397,64.5,2801,7.1,6.7,22,13,135.5,138,428,3.1,6,donovan-smith-2
66,Devin Leary,Kentucky,SEC,12,193,343,56.3,2440,7.1,7.1,23,10,132.3,39,-55,-1.4,1,devin-leary-1
67,K.J. Jefferson,Arkansas,SEC,12,190,296,64.2,2107,7.1,7.2,19,8,139.8,161,447,2.8,2,kj-jefferson-1
68,Connor Bazelak,Bowling Green State,MAC,10,148,242,61.2,1709,7.1,6.7,11,7,129.7,38,-57,-1.5,1,connor-bazelak-1
69,Darren Grainger,Georgia State,Sun Belt,12,225,336,67,2364,7,7.1,17,7,138.6,135,625,4.6,8,darren-grainger-1
70,Cam Fancher,Marshall,Sun Belt,10,202,309,65.4,2162,7,6.1,11,11,128.8,120,273,2.3,4,cam-fancher-1
71,Rocky Lombardi,Northern Illinois,MAC,12,171,298,57.4,2074,7,6.9,10,5,123.6,69,108,1.6,6,rocky-lombardi-1
72,Grant Wilson,Old Dominion,Sun Belt,11,165,290,56.9,2026,7,7,16,7,129,122,163,1.3,2,grant-wilson-1
73,Luke Altmyer,Illinois,Big Ten,9,175,270,64.8,1883,7,6.3,13,10,131.9,94,282,3,3,luke-altmyer-1
74,Payton Thorne,Auburn,SEC,12,149,238,62.6,1671,7,6.6,15,9,134.8,125,520,4.2,3,payton-thorne-1
75,E.J. Warner,Temple,American,10,256,445,57.5,3076,6.9,6.7,23,12,127.3,24,7,0.3,0,ej-warner-1
76,Ashton Daniels,Stanford,Pac-12,12,191,325,58.8,2247,6.9,6.5,11,8,123.1,109,292,2.7,3,ashton-daniels-1
77,Emory Jones,Cincinnati,Big 12,12,197,322,61.2,2219,6.9,6.6,18,10,131.3,155,560,3.6,4,emory-jones-1
78,Thomas Castellanos,Boston College,ACC,12,178,312,57.1,2146,6.9,6,15,13,122.4,194,957,4.9,11,thomas-castellanos-1
79,Brennan Armstrong,North Carolina State,ACC,11,146,234,62.4,1621,6.9,6.7,11,6,131,126,544,4.3,6,brennan-armstrong-1
80,Alan Bowman,Oklahoma State,Big 12,13,270,452,59.7,3058,6.8,6.1,13,12,120.7,25,18,0.7,2,alan-bowman-1
81,Mikey Keene,Fresno State,MWC,11,252,383,65.8,2596,6.8,6.8,21,9,136.1,27,-145,-5.4,0,mikey-keene-1
82,Brayden Schager,Hawaii,MWC,13,332,525,63.2,3542,6.7,6.5,26,14,130.9,103,63,0.6,2,brayden-schager-1
83,Davis Brin,Georgia Southern,Sun Belt,12,330,510,64.7,3431,6.7,6.2,22,16,129.2,65,-37,-0.6,1,davis-brin-1
84,Drew Allar,Penn State,Big Ten,12,214,350,61.1,2336,6.7,7.9,23,1,138.3,69,170,2.5,4,drew-allar-1
85,Brendan Sorsby,Indiana,Big Ten,10,135,237,57,1587,6.7,7,15,5,129.9,113,276,2.4,4,brendan-sorsby-1
86,Jase Bauer,Central Michigan,MAC,12,163,287,56.8,1881,6.6,6.1,12,8,120.1,121,365,3,10,jase-bauer-1
87,Bryson Barnes,Utah,Pac-12,10,134,229,58.5,1517,6.6,5.9,12,9,123.6,74,267,3.6,3,bryson-barnes-1
88,Taisun Phommachanh,Massachusetts,Ind,9,139,227,61.2,1507,6.6,6,6,6,120.4,48,38,0.8,2,taisun-phommachanh-1
89,Zion Webb,Jacksonville State,CUSA,11,97,194,50,1281,6.6,5.7,5,6,107.8,116,638,5.5,7,zion-webb-1
90,Hudson Card,Purdue,Big Ten,11,215,365,58.9,2387,6.5,6.4,15,8,123,93,203,2.2,5,hudson-card-1
91,Jalen Mayden,San Diego State,MWC,12,199,314,63.4,2031,6.5,5.8,10,9,122.5,128,528,4.1,5,jalen-mayden-1
92,Billy Wiles,Southern Mississippi,Sun Belt,11,162,301,53.8,1940,6.4,6.1,11,7,115.4,57,19,0.3,1,billy-wiles-1
93,Daniel Richardson,Florida Atlantic,American,11,208,318,65.4,2001,6.3,5.7,13,10,125.5,42,-62,-1.5,0,daniel-richardson-1
94,Athan Kaliakmanis,Minnesota,Big Ten,12,156,294,53.1,1838,6.3,5.8,14,9,115.2,74,94,1.3,2,athan-kaliakmanis-1
95,Cade Klubnik,Clemson,ACC,12,260,413,63,2580,6.2,6.3,19,8,126.7,110,194,1.8,4,cade-klubnik-1
96,Tanner Mordecai,Wisconsin,Big Ten,9,177,274,64.6,1688,6.2,5.9,6,4,120.7,77,305,4,4,tanner-mordecai-1
97,Jeff Undercuffler,Akron,MAC,10,138,224,61.6,1378,6.2,4.7,4,9,111.1,26,-201,-7.7,1,jeff-undercuffler-2
98,Trexler Ivey,Charlotte,American,11,112,203,55.2,1263,6.2,4.4,4,10,104.1,33,-89,-2.7,3,trexler-ivey-1
99,Ta'Quan Roberson,Connecticut,Ind,11,197,338,58.3,2075,6.1,6.1,12,6,118,46,120,2.6,2,taquan-roberson-1
100,Jiya Wright,Louisiana-Monroe,Sun Belt,12,107,204,52.5,1246,6.1,5.3,10,8,112.1,99,264,2.7,2,jiya-wright-1
101,Keegan Shoemaker,Sam Houston,CUSA,11,264,419,63,2506,6,5.5,15,11,119.8,93,254,2.7,1,keegan-shoemaker-1
102,Austin Smith,Eastern Michigan,MAC,12,171,298,57.4,1775,6,5.5,9,7,112.7,101,134,1.3,2,austin-smith-5
103,Gavin Wimsatt,Rutgers,Big Ten,12,131,274,47.8,1651,6,5.4,9,8,103.4,122,488,4,9,gavin-wimsatt-1
104,Behren Morton,Texas Tech,Big 12,9,155,250,62,1498,6,5.7,12,7,122.6,43,9,0.2,4,behren-morton-1
105,Katin Houser,Michigan State,Big Ten,11,112,191,58.6,1130,5.9,5.4,6,5,113.5,48,-12,-0.3,2,katin-houser-1
106,Cole Snyder,Buffalo,MAC,12,203,372,54.6,2108,5.7,5.3,13,9,108.9,67,88,1.3,1,cole-snyder-2
107,Brendon Lewis,Nevada,MWC,12,131,236,55.5,1313,5.6,4.6,2,6,100,120,495,4.1,4,brendon-lewis-1
108,Alex Flinn,East Carolina,American,12,159,290,54.8,1558,5.4,3.9,6,12,98.5,96,188,2,0,alex-flinn-1
109,Deacon Hill,Iowa,Big Ten,12,115,233,49.4,1096,4.7,4,5,6,90.8,43,-112,-2.6,2,deacon-hill-1